赛马娘：评价分、属性分、等级阈值、技能价格完整整理
生成日期：2026-07-20

【0. 适用范围与来源】
- master.mdb SHA-256: b387ffd16d0ee2c28ed9a1711049a3635c204fc72b652f616e7a199c698c51f0
- 属性分来源: hzyhhzy/UmaAi / Cook2 / 2b06fb9 / UmaSimulator/GameDatabase/GameConstants.cpp / FiveStatusFinalScore
- 等级阈值来源: master.mdb.single_mode_rank（298行）
- 技能名来源: master.mdb.text_data(category=47)
- 技能基础评价分来源: master.mdb.skill_data.grade_value
- 技能原价来源: master.mdb.single_mode_skill_need_point.need_skill_point
- 本文件使用制表符分列，是人可读且可直接按TSV解析的TXT；未生成混合型大型JSON。

【1. 总评价结构】
总评价 = 五维属性评价分之和 + 已学技能评价分 + 固有技能等其他评价项 + 结算规则中的剩余技能Pt评价。
五维属性（速度/耐力/力量/根性/智力）共用同一张 FiveStatusFinalScore 查表。
技能 Hint 与“切れ者”改变的是购买技能所需技能Pt，不直接改变该技能的 grade_value。
注意：下方 grade_value 是MDB中的技能基础评价值；适性、技能替换/上下位、固有等级等最终结算规则须在模拟器中另行处理。

【2. Hint与切れ者折扣】
Hint Lv0: 原价100%；Lv1: 90%；Lv2: 80%；Lv3: 70%；Lv4: 65%；Lv5: 60%。
切れ者: 在Hint折扣后的价格基础上再减10%，即再乘0.9；例如Hint后为原价50%时，切れ者后约为原价45%。
重要：精确整数取整顺序仍须用客户端逻辑/实机边界样本核验；在完成该核验前，不把浮点近似冒充逐点实机价格。

【3. 完整属性评价分表：0～2800】
属性值	单项属性评价分	相对上一点增量
1745	6450	0
1746	6461	11
1747	6461	0
1748	6472	11
1749	6472	0
1750	6484	12
1751	6484	0
1752	6495	11
1753	6495	0
1754	6507	12
1755	6507	0
1756	6518	11
1757	6518	0
1758	6529	11
1759	6529	0
1760	6541	12
1761	6541	0
1762	6552	11
1763	6552	0
1764	6564	12
1765	6564	0
1766	6575	11
1767	6575	0
1768	6587	12
1769	6587	0
1770	6598	11
1771	6598	0
1772	6610	12
1773	6610	0
1774	6621	11
1775	6621	0
1776	6633	12
1777	6633	0
1778	6644	11
1779	6644	0
1780	6656	12
1781	6656	0
1782	6668	12
1783	6668	0
1784	6680	12
1785	6680	0
1786	6691	11
1787	6691	0
1788	6703	12
1789	6703	0
1790	6715	12
1791	6715	0
1792	6726	11
1793	6726	0
1794	6738	12
1795	6738	0
1796	6750	12
1797	6750	0
1798	6761	11
1799	6761	0
1800	6773	12
1801	6773	0
1802	6785	12
1803	6785	0
1804	6797	12
1805	6797	0
1806	6809	12
1807	6809	0
1808	6820	11
1809	6820	0
1810	6832	12
1811	6832	0
1812	6844	12
1813	6844	0
1814	6856	12
1815	6856	0
1816	6868	12
1817	6868	0
1818	6879	11
1819	6879	0
1820	6891	12
1821	6891	0
1822	6903	12
1823	6903	0
1824	6915	12
1825	6915	0
1826	6927	12
1827	6927	0
1828	6939	12
1829	6939	0
1830	6951	12
1831	6951	0
1832	6963	12
1833	6963	0
1834	6975	12
1835	6975	0
1836	6987	12
1837	6987	0
1838	6998	11
1839	6998	0
1840	7011	13
1841	7011	0
1842	7023	12
1843	7023	0
1844	7035	12
1845	7035	0
1846	7047	12
1847	7047	0
1848	7059	12
1849	7059	0
1850	7071	12
1851	7071	0
1852	7083	12
1853	7083	0
1854	7095	12
1855	7095	0
1856	7107	12
1857	7107	0
1858	7119	12
1859	7119	0
1860	7132	13
1861	7132	0
1862	7144	12
1863	7144	0
1864	7156	12
1865	7156	0
1866	7168	12
1867	7168	0
1868	7180	12
1869	7180	0
1870	7193	13
1871	7193	0
1872	7205	12
1873	7205	0
1874	7217	12
1875	7217	0
1876	7229	12
1877	7229	0
1878	7241	12
1879	7241	0
1880	7254	13
1881	7254	0
1882	7266	12
1883	7266	0
1884	7278	12
1885	7278	0
1886	7291	13
1887	7291	0
1888	7303	12
1889	7303	0
1890	7315	12
1891	7315	0
1892	7328	13
1893	7328	0
1894	7340	12
1895	7340	0
1896	7352	12
1897	7352	0
1898	7364	12
1899	7364	0
1900	7377	13
1901	7377	0
1902	7389	12
1903	7389	0
1904	7402	13
1905	7402	0
1906	7414	12
1907	7414	0
1908	7426	12
1909	7426	0
1910	7439	13
1911	7439	0
1912	7451	12
1913	7451	0
1914	7464	13
1915	7464	0
1916	7476	12
1917	7476	0
1918	7488	12
1919	7488	0
1920	7501	13
1921	7501	0
1922	7514	13
1923	7514	0
1924	7526	12
1925	7526	0
1926	7539	13
1927	7539	0
1928	7551	12
1929	7551	0
1930	7564	13
1931	7564	0
1932	7577	13
1933	7577	0
1934	7589	12
1935	7589	0
1936	7602	13
1937	7602	0
1938	7614	12
1939	7614	0
1940	7627	13
1941	7627	0
1942	7640	13
1943	7640	0
1944	7653	13
1945	7653	0
1946	7665	12
1947	7665	0
1948	7678	13
1949	7678	0
1950	7691	13
1951	7691	0
1952	7703	12
1953	7703	0
1954	7716	13
1955	7716	0
1956	7729	13
1957	7729	0
1958	7741	12
1959	7741	0
1960	7754	13
1961	7754	0
1962	7767	13
1963	7767	0
1964	7780	13
1965	7780	0
1966	7793	13
1967	7793	0
1968	7805	12
1969	7805	0
1970	7818	13
1971	7818	0
1972	7831	13
1973	7831	0
1974	7844	13
1975	7844	0
1976	7857	13
1977	7857	0
1978	7869	12
1979	7869	0
1980	7882	13
1981	7882	0
1982	7895	13
1983	7895	0
1984	7908	13
1985	7908	0
1986	7921	13
1987	7921	0
1988	7934	13
1989	7934	0
1990	7947	13
1991	7947	0
1992	7960	13
1993	7960	0
1994	7973	13
1995	7973	0
1996	7986	13
1997	7986	0
1998	7999	13
1999	7999	0
2000	8013	14
2001	8013	0
2002	8026	13
2003	8026	0
2004	8039	13
2005	8039	0
2006	8052	13
2007	8052	0
2008	8065	13
2009	8065	0
2010	8078	13
2011	8078	0
2012	8091	13
2013	8091	0
2014	8104	13
2015	8104	0
2016	8117	13
2017	8117	0
2018	8130	13
2019	8130	0
2020	8144	14
2021	8144	0
2022	8157	13
2023	8157	0
2024	8170	13
2025	8170	0
2026	8183	13
2027	8183	0
2028	8196	13
2029	8196	0
2030	8210	14
2031	8210	0
2032	8223	13
2033	8223	0
2034	8236	13
2035	8236	0
2036	8249	13
2037	8249	0
2038	8262	13
2039	8262	0
2040	8276	14
2041	8276	0
2042	8289	13
2043	8289	0
2044	8303	14
2045	8303	0
2046	8316	13
2047	8316	0
2048	8329	13
2049	8329	0
2050	8343	14
2051	8343	0
2052	8356	13
2053	8356	0
2054	8370	14
2055	8370	0
2056	8383	13
2057	8383	0
2058	8396	13
2059	8396	0
2060	8410	14
2061	8410	0
2062	8423	13
2063	8423	0
2064	8437	14
2065	8437	0
2066	8450	13
2067	8450	0
2068	8464	14
2069	8464	0
2070	8477	13
2071	8477	0
2072	8491	14
2073	8491	0
2074	8504	13
2075	8504	0
2076	8518	14
2077	8518	0
2078	8531	13
2079	8531	0
2080	8545	14
2081	8545	0
2082	8559	14
2083	8559	0
2084	8572	13
2085	8572	0
2086	8586	14
2087	8586	0
2088	8599	13
2089	8599	0
2090	8613	14
2091	8613	0
2092	8627	14
2093	8627	0
2094	8640	13
2095	8640	0
2096	8654	14
2097	8654	0
2098	8667	13
2099	8667	0
2100	8681	14
2101	8681	0
2102	8695	14
2103	8695	0
2104	8709	14
2105	8709	0
2106	8723	14
2107	8723	0
2108	8736	13
2109	8736	0
2110	8750	14
2111	8750	0
2112	8764	14
2113	8764	0
2114	8778	14
2115	8778	0
2116	8792	14
2117	8792	0
2118	8805	13
2119	8805	0
2120	8819	14
2121	8819	0
2122	8833	14
2123	8833	0
2124	8847	14
2125	8847	0
2126	8861	14
2127	8861	0
2128	8875	14
2129	8875	0
2130	8889	14
2131	8889	0
2132	8903	14
2133	8903	0
2134	8917	14
2135	8917	0
2136	8931	14
2137	8931	0
2138	8944	13
2139	8944	0
2140	8958	14
2141	8958	0
2142	8972	14
2143	8972	0
2144	8986	14
2145	8986	0
2146	9000	14
2147	9000	0
2148	9014	14
2149	9014	0
2150	9028	14
2151	9028	0
2152	9042	14
2153	9042	0
2154	9056	14
2155	9056	0
2156	9070	14
2157	9070	0
2158	9084	14
2159	9084	0
2160	9099	15
2161	9099	0
2162	9113	14
2163	9113	0
2164	9127	14
2165	9127	0
2166	9141	14
2167	9141	0
2168	9155	14
2169	9155	0
2170	9169	14
2171	9169	0
2172	9183	14
2173	9183	0
2174	9197	14
2175	9197	0
2176	9211	14
2177	9211	0
2178	9225	14
2179	9225	0
2180	9240	15
2181	9240	0
2182	9254	14
2183	9254	0
2184	9268	14
2185	9268	0
2186	9283	15
2187	9283	0
2188	9297	14
2189	9297	0
2190	9311	14
2191	9311	0
2192	9326	15
2193	9326	0
2194	9340	14
2195	9340	0
2196	9354	14
2197	9354	0
2198	9368	14
2199	9368	0
2200	9383	15
2201	9383	0
2202	9397	14
2203	9397	0
2204	9412	15
2205	9412	0
2206	9426	14
2207	9426	0
2208	9440	14
2209	9440	0
2210	9455	15
2211	9455	0
2212	9469	14
2213	9469	0
2214	9484	15
2215	9484	0
2216	9498	14
2217	9498	0
2218	9512	14
2219	9512	0
2220	9527	15
2221	9527	0
2222	9541	14
2223	9541	0
2224	9556	15
2225	9556	0
2226	9570	14
2227	9570	0
2228	9585	15
2229	9585	0
2230	9599	14
2231	9599	0
2232	9614	15
2233	9614	0
2234	9628	14
2235	9628	0
2236	9643	15
2237	9643	0
2238	9657	14
2239	9657	0
2240	9672	15
2241	9672	0
2242	9687	15
2243	9687	0
2244	9702	15
2245	9702	0
2246	9716	14
2247	9716	0
2248	9731	15
2249	9731	0
2250	9746	15
2251	9746	0
2252	9760	14
2253	9760	0
2254	9775	15
2255	9775	0
2256	9790	15
2257	9790	0
2258	9804	14
2259	9804	0
2260	9819	15
2261	9819	0
2262	9834	15
2263	9834	0
2264	9849	15
2265	9849	0
2266	9864	15
2267	9864	0
2268	9878	14
2269	9878	0
2270	9893	15
2271	9893	0
2272	9908	15
2273	9908	0
2274	9923	15
2275	9923	0
2276	9938	15
2277	9938	0
2278	9952	14
2279	9952	0
2280	9967	15
2281	9967	0
2282	9982	15
2283	9982	0
2284	9997	15
2285	9997	0
2286	10012	15
2287	10012	0
2288	10027	15
2289	10027	0
2290	10042	15
2291	10042	0
2292	10057	15
2293	10057	0
2294	10072	15
2295	10072	0
2296	10087	15
2297	10087	0
2298	10101	14
2299	10101	0
2300	10117	16
2301	10117	0
2302	10132	15
2303	10132	0
2304	10147	15
2305	10147	0
2306	10162	15
2307	10162	0
2308	10177	15
2309	10177	0
2310	10192	15
2311	10192	0
2312	10207	15
2313	10207	0
2314	10222	15
2315	10222	0
2316	10237	15
2317	10237	0
2318	10252	15
2319	10252	0
2320	10268	16
2321	10268	0
2322	10283	15
2323	10283	0
2324	10298	15
2325	10298	0
2326	10313	15
2327	10313	0
2328	10328	15
2329	10328	0
2330	10344	16
2331	10344	0
2332	10359	15
2333	10359	0
2334	10374	15
2335	10374	0
2336	10389	15
2337	10389	0
2338	10404	15
2339	10404	0
2340	10420	16
2341	10420	0
2342	10435	15
2343	10435	0
2344	10450	15
2345	10450	0
2346	10466	16
2347	10466	0
2348	10481	15
2349	10481	0
2350	10496	15
2351	10496	0
2352	10512	16
2353	10512	0
2354	10527	15
2355	10527	0
2356	10542	15
2357	10542	0
2358	10557	15
2359	10557	0
2360	10573	16
2361	10573	0
2362	10588	15
2363	10588	0
2364	10604	16
2365	10604	0
2366	10619	15
2367	10619	0
2368	10635	16
2369	10635	0
2370	10650	15
2371	10650	0
2372	10666	16
2373	10666	0
2374	10681	15
2375	10681	0
2376	10697	16
2377	10697	0
2378	10712	15
2379	10712	0
2380	10728	16
2381	10728	0
2382	10744	16
2383	10744	0
2384	10759	15
2385	10759	0
2386	10775	16
2387	10775	0
2388	10790	15
2389	10790	0
2390	10806	16
2391	10806	0
2392	10822	16
2393	10822	0
2394	10837	15
2395	10837	0
2396	10853	16
2397	10853	0
2398	10868	15
2399	10868	0
2400	10884	16
2401	10884	0
2402	10900	16
2403	10900	0
2404	10916	16
2405	10916	0
2406	10931	15
2407	10931	0
2408	10947	16
2409	10947	0
2410	10963	16
2411	10963	0
2412	10978	15
2413	10978	0
2414	10994	16
2415	10994	0
2416	11010	16
2417	11010	0
2418	11025	15
2419	11025	0
2420	11041	16
2421	11041	0
2422	11057	16
2423	11057	0
2424	11073	16
2425	11073	0
2426	11089	16
2427	11089	0
2428	11105	16
2429	11105	0
2430	11121	16
2431	11121	0
2432	11137	16
2433	11137	0
2434	11153	16
2435	11153	0
2436	11169	16
2437	11169	0
2438	11184	15
2439	11184	0
2440	11200	16
2441	11200	0
2442	11216	16
2443	11216	0
2444	11232	16
2445	11232	0
2446	11248	16
2447	11248	0
2448	11264	16
2449	11264	0
2450	11280	16
2451	11280	0
2452	11296	16
2453	11296	0
2454	11312	16
2455	11312	0
2456	11328	16
2457	11328	0
2458	11344	16
2459	11344	0
2460	11361	17
2461	11361	0
2462	11377	16
2463	11377	0
2464	11393	16
2465	11393	0
2466	11409	16
2467	11409	0
2468	11425	16
2469	11425	0
2470	11441	16
2471	11441	0
2472	11457	16
2473	11457	0
2474	11473	16
2475	11473	0
2476	11489	16
2477	11489	0
2478	11505	16
2479	11505	0
2480	11522	17
2481	11522	0
2482	11538	16
2483	11538	0
2484	11554	16
2485	11554	0
2486	11570	16
2487	11570	0
2488	11586	16
2489	11586	0
2490	11603	17
2491	11603	0
2492	11619	16
2493	11619	0
2494	11635	16
2495	11635	0
2496	11651	16
2497	11651	0
2498	11667	16
2499	11667	0
2500	11684	17
2501	11684	0
2502	11700	16
2503	11700	0
2504	11717	17
2505	11717	0
2506	11733	16
2507	11733	0
2508	11749	16
2509	11749	0
2510	11766	17
2511	11766	0
2512	11782	16
2513	11782	0
2514	11799	17
2515	11799	0
2516	11815	16
2517	11815	0
2518	11831	16
2519	11831	0
2520	11848	17
2521	11848	0
2522	11864	16
2523	11864	0
2524	11881	17
2525	11881	0
2526	11897	16
2527	11897	0
2528	11914	17
2529	11914	0
2530	11930	16
2531	11930	0
2532	11947	17
2533	11947	0
2534	11963	16
2535	11963	0
2536	11980	17
2537	11980	0
2538	11996	16
2539	11996	0
2540	12013	17
2541	12013	0
2542	12030	17
2543	12030	0
2544	12046	16
2545	12046	0
2546	12063	17
2547	12063	0
2548	12079	16
2549	12079	0
2550	12096	17
2551	12096	0
2552	12113	17
2553	12113	0
2554	12129	16
2555	12129	0
2556	12146	17
2557	12146	0
2558	12162	16
2559	12162	0
2560	12179	17
2561	12179	0
2562	12196	17
2563	12196	0
2564	12213	17
2565	12213	0
2566	12230	17
2567	12230	0
2568	12246	16
2569	12246	0
2570	12263	17
2571	12263	0
2572	12280	17
2573	12280	0
2574	12297	17
2575	12297	0
2576	12314	17
2577	12314	0
2578	12330	16
2579	12330	0
2580	12347	17
2581	12347	0
2582	12364	17
2583	12364	0
2584	12381	17
2585	12381	0
2586	12398	17
2587	12398	0
2588	12415	17
2589	12415	0
2590	12432	17
2591	12432	0
2592	12449	17
2593	12449	0
2594	12466	17
2595	12466	0
2596	12483	17
2597	12483	0
2598	12499	16
2599	12499	0
2600	12516	17
2601	12516	0
2602	12533	17
2603	12533	0
2604	12550	17
2605	12550	0
2606	12567	17
2607	12567	0
2608	12584	17
2609	12584	0
2610	12601	17
2611	12601	0
2612	12618	17
2613	12618	0
2614	12635	17
2615	12635	0
2616	12652	17
2617	12652	0
2618	12669	17
2619	12669	0
2620	12687	18
2621	12687	0
2622	12704	17
2623	12704	0
2624	12721	17
2625	12721	0
2626	12738	17
2627	12738	0
2628	12755	17
2629	12755	0
2630	12773	18
2631	12773	0
2632	12790	17
2633	12790	0
2634	12807	17
2635	12807	0
2636	12824	17
2637	12824	0
2638	12841	17
2639	12841	0
2640	12859	18
2641	12859	0
2642	12876	17
2643	12876	0
2644	12893	17
2645	12893	0
2646	12911	18
2647	12911	0
2648	12928	17
2649	12928	0
2650	12945	17
2651	12945	0
2652	12963	18
2653	12963	0
2654	12980	17
2655	12980	0
2656	12997	17
2657	12997	0
2658	13014	17
2659	13014	0
2660	13032	18
2661	13032	0
2662	13049	17
2663	13049	0
2664	13067	18
2665	13067	0
2666	13084	17
2667	13084	0
2668	13101	17
2669	13101	0
2670	13119	18
2671	13119	0
2672	13136	17
2673	13136	0
2674	13154	18
2675	13154	0
2676	13171	17
2677	13171	0
2678	13188	17
2679	13188	0
2680	13206	18
2681	13206	0
2682	13224	18
2683	13224	0
2684	13241	17
2685	13241	0
2686	13259	18
2687	13259	0
2688	13276	17
2689	13276	0
2690	13294	18
2691	13294	0
2692	13312	18
2693	13312	0
2694	13329	17
2695	13329	0
2696	13347	18
2697	13347	0
2698	13364	17
2699	13364	0
2700	13382	18
2701	13382	0
2702	13400	18
2703	13400	0
2704	13418	18
2705	13418	0
2706	13435	17
2707	13435	0
2708	13453	18
2709	13453	0
2710	13471	18
2711	13471	0
2712	13488	17
2713	13488	0
2714	13506	18
2715	13506	0
2716	13524	18
2717	13524	0
2718	13541	17
2719	13541	0
2720	13559	18
2721	13559	0
2722	13577	18
2723	13577	0
2724	13595	18
2725	13595	0
2726	13613	18
2727	13613	0
2728	13630	17
2729	13630	0
2730	13648	18
2731	13648	0
2732	13666	18
2733	13666	0
2734	13684	18
2735	13684	0
2736	13702	18
2737	13702	0
2738	13719	17
2739	13719	0
2740	13737	18
2741	13737	0
2742	13755	18
2743	13755	0
2744	13773	18
2745	13773	0
2746	13791	18
2747	13791	0
2748	13809	18
2749	13809	0
2750	13827	18
2751	13827	0
2752	13845	18
2753	13845	0
2754	13863	18
2755	13863	0
2756	13881	18
2757	13881	0
2758	13898	17
2759	13898	0
2760	13917	19
2761	13917	0
2762	13935	18
2763	13935	0
2764	13953	18
2765	13953	0
2766	13971	18
2767	13971	0
2768	13989	18
2769	13989	0
2770	14007	18
2771	14007	0
2772	14025	18
2773	14025	0
2774	14043	18
2775	14043	0
2776	14061	18
2777	14061	0
2778	14079	18
2779	14079	0
2780	14098	19
2781	14098	0
2782	14116	18
2783	14116	0
2784	14134	18
2785	14134	0
2786	14152	18
2787	14152	0
2788	14170	18
2789	14170	0
2790	14189	19
2791	14189	0
2792	14207	18
2793	14207	0
2794	14225	18
2795	14225	0
2796	14243	18
2797	14243	0
2798	14261	18
2799	14261	0
2800	14280	19

【4. 完整评价等级阈值：Rank ID 1～298】
说明：阈值全部直接来自MDB。名称按已知客户端命名规律规范化为 G～US9、LG～LG24、LF～LF174；Rank ID与阈值是权威原始字段，名称算法应在客户端显示逻辑找到后再做最终代码级确认。
RankID	规范化名称	最低分	最高分	区间宽度
1	G	0	299	300
2	G+	300	599	300
3	F	600	899	300
4	F+	900	1299	400
5	E	1300	1799	500
6	E+	1800	2299	500
7	D	2300	2899	600
8	D+	2900	3499	600
9	C	3500	4899	1400
10	C+	4900	6499	1600
11	B	6500	8199	1700
12	B+	8200	9999	1800
13	A	10000	12099	2100
14	A+	12100	14499	2400
15	S	14500	15899	1400
16	S+	15900	17499	1600
17	SS	17500	19199	1700
18	SS+	19200	19599	400
19	UG	19600	19999	400
20	UG1	20000	20399	400
21	UG2	20400	20799	400
22	UG3	20800	21199	400
23	UG4	21200	21599	400
24	UG5	21600	22099	500
25	UG6	22100	22499	400
26	UG7	22500	22999	500
27	UG8	23000	23399	400
28	UG9	23400	23899	500
29	UF	23900	24299	400
30	UF1	24300	24799	500
31	UF2	24800	25299	500
32	UF3	25300	25799	500
33	UF4	25800	26299	500
34	UF5	26300	26799	500
35	UF6	26800	27299	500
36	UF7	27300	27799	500
37	UF8	27800	28299	500
38	UF9	28300	28799	500
39	UE	28800	29399	600
40	UE1	29400	29899	500
41	UE2	29900	30399	500
42	UE3	30400	30999	600
43	UE4	31000	31499	500
44	UE5	31500	32099	600
45	UE6	32100	32699	600
46	UE7	32700	33199	500
47	UE8	33200	33799	600
48	UE9	33800	34399	600
49	UD	34400	34999	600
50	UD1	35000	35599	600
51	UD2	35600	36199	600
52	UD3	36200	36799	600
53	UD4	36800	37499	700
54	UD5	37500	38099	600
55	UD6	38100	38699	600
56	UD7	38700	39399	700
57	UD8	39400	39999	600
58	UD9	40000	40699	700
59	UC	40700	41299	600
60	UC1	41300	41999	700
61	UC2	42000	42699	700
62	UC3	42700	43399	700
63	UC4	43400	43999	600
64	UC5	44000	44699	700
65	UC6	44700	45399	700
66	UC7	45400	46199	800
67	UC8	46200	46899	700
68	UC9	46900	47599	700
69	UB	47600	48299	700
70	UB1	48300	48999	700
71	UB2	49000	49799	800
72	UB3	49800	50499	700
73	UB4	50500	51299	800
74	UB5	51300	51999	700
75	UB6	52000	52799	800
76	UB7	52800	53599	800
77	UB8	53600	54399	800
78	UB9	54400	55199	800
79	UA	55200	55899	700
80	UA1	55900	56699	800
81	UA2	56700	57499	800
82	UA3	57500	58399	900
83	UA4	58400	59199	800
84	UA5	59200	59999	800
85	UA6	60000	60799	800
86	UA7	60800	61699	900
87	UA8	61700	62499	800
88	UA9	62500	63399	900
89	US	63400	64199	800
90	US1	64200	65099	900
91	US2	65100	66399	1300
92	US3	66400	67699	1300
93	US4	67700	68999	1300
94	US5	69000	70299	1300
95	US6	70300	71599	1300
96	US7	71600	72899	1300
97	US8	72900	74399	1500
98	US9	74400	75999	1600
99	LG	76000	76599	600
100	LG1	76600	77199	600
101	LG2	77200	77799	600
102	LG3	77800	78499	700
103	LG4	78500	79099	600
104	LG5	79100	79699	600
105	LG6	79700	80399	700
106	LG7	80400	80999	600
107	LG8	81000	81699	700
108	LG9	81700	82299	600
109	LG10	82300	82999	700
110	LG11	83000	83599	600
111	LG12	83600	84299	700
112	LG13	84300	84899	600
113	LG14	84900	85599	700
114	LG15	85600	86199	600
115	LG16	86200	86699	500
116	LG17	86700	87299	600
117	LG18	87300	87899	600
118	LG19	87900	88499	600
119	LG20	88500	89099	600
120	LG21	89100	89699	600
121	LG22	89700	90299	600
122	LG23	90300	90899	600
123	LG24	90900	91399	500
124	LF	91400	91999	600
125	LF1	92000	92599	600
126	LF2	92600	93199	600
127	LF3	93200	93799	600
128	LF4	93800	94399	600
129	LF5	94400	94999	600
130	LF6	95000	95599	600
131	LF7	95600	96299	700
132	LF8	96300	96899	600
133	LF9	96900	97499	600
134	LF10	97500	97999	500
135	LF11	98000	98499	500
136	LF12	98500	98999	500
137	LF13	99000	99599	600
138	LF14	99600	100099	500
139	LF15	100100	100599	500
140	LF16	100600	101099	500
141	LF17	101100	101699	600
142	LF18	101700	102199	500
143	LF19	102200	102699	500
144	LF20	102700	103199	500
145	LF21	103200	103799	600
146	LF22	103800	104299	500
147	LF23	104300	104799	500
148	LF24	104800	105399	600
149	LF25	105400	105899	500
150	LF26	105900	106399	500
151	LF27	106400	106899	500
152	LF28	106900	107499	600
153	LF29	107500	107999	500
154	LF30	108000	108499	500
155	LF31	108500	109099	600
156	LF32	109100	109599	500
157	LF33	109600	110099	500
158	LF34	110100	110699	600
159	LF35	110700	111199	500
160	LF36	111200	111799	600
161	LF37	111800	112299	500
162	LF38	112300	112799	500
163	LF39	112800	113399	600
164	LF40	113400	113899	500
165	LF41	113900	114399	500
166	LF42	114400	114999	600
167	LF43	115000	115499	500
168	LF44	115500	116099	600
169	LF45	116100	116599	500
170	LF46	116600	117099	500
171	LF47	117100	117699	600
172	LF48	117700	118199	500
173	LF49	118200	118799	600
174	LF50	118800	119299	500
175	LF51	119300	119899	600
176	LF52	119900	120399	500
177	LF53	120400	120999	600
178	LF54	121000	121499	500
179	LF55	121500	121999	500
180	LF56	122000	122599	600
181	LF57	122600	123099	500
182	LF58	123100	123699	600
183	LF59	123700	124199	500
184	LF60	124200	124799	600
185	LF61	124800	125299	500
186	LF62	125300	125899	600
187	LF63	125900	126399	500
188	LF64	126400	126999	600
189	LF65	127000	127499	500
190	LF66	127500	128099	600
191	LF67	128100	128699	600
192	LF68	128700	129199	500
193	LF69	129200	129799	600
194	LF70	129800	130299	500
195	LF71	130300	130899	600
196	LF72	130900	131399	500
197	LF73	131400	131999	600
198	LF74	132000	132499	500
199	LF75	132500	133099	600
200	LF76	133100	133699	600
201	LF77	133700	134199	500
202	LF78	134200	134799	600
203	LF79	134800	135299	500
204	LF80	135300	135899	600
205	LF81	135900	136499	600
206	LF82	136500	136999	500
207	LF83	137000	137599	600
208	LF84	137600	138099	500
209	LF85	138100	138699	600
210	LF86	138700	139299	600
211	LF87	139300	139799	500
212	LF88	139800	140399	600
213	LF89	140400	140999	600
214	LF90	141000	141499	500
215	LF91	141500	142099	600
216	LF92	142100	142699	600
217	LF93	142700	143199	500
218	LF94	143200	143799	600
219	LF95	143800	144399	600
220	LF96	144400	144899	500
221	LF97	144900	145499	600
222	LF98	145500	146099	600
223	LF99	146100	146599	500
224	LF100	146600	147199	600
225	LF101	147200	147799	600
226	LF102	147800	148399	600
227	LF103	148400	148899	500
228	LF104	148900	149499	600
229	LF105	149500	150099	600
230	LF106	150100	150699	600
231	LF107	150700	151199	500
232	LF108	151200	151799	600
233	LF109	151800	152399	600
234	LF110	152400	152999	600
235	LF111	153000	153499	500
236	LF112	153500	154099	600
237	LF113	154100	154699	600
238	LF114	154700	155299	600
239	LF115	155300	155899	600
240	LF116	155900	156399	500
241	LF117	156400	156999	600
242	LF118	157000	157599	600
243	LF119	157600	158199	600
244	LF120	158200	158799	600
245	LF121	158800	159299	500
246	LF122	159300	159899	600
247	LF123	159900	160499	600
248	LF124	160500	161099	600
249	LF125	161100	161699	600
250	LF126	161700	162299	600
251	LF127	162300	162899	600
252	LF128	162900	163399	500
253	LF129	163400	163999	600
254	LF130	164000	164599	600
255	LF131	164600	165199	600
256	LF132	165200	165799	600
257	LF133	165800	166399	600
258	LF134	166400	166999	600
259	LF135	167000	167599	600
260	LF136	167600	168199	600
261	LF137	168200	168699	500
262	LF138	168700	169299	600
263	LF139	169300	169899	600
264	LF140	169900	170499	600
265	LF141	170500	171099	600
266	LF142	171100	171699	600
267	LF143	171700	172299	600
268	LF144	172300	172899	600
269	LF145	172900	173499	600
270	LF146	173500	174099	600
271	LF147	174100	174699	600
272	LF148	174700	175299	600
273	LF149	175300	175899	600
274	LF150	175900	176499	600
275	LF151	176500	177099	600
276	LF152	177100	177699	600
277	LF153	177700	178299	600
278	LF154	178300	178899	600
279	LF155	178900	179499	600
280	LF156	179500	180099	600
281	LF157	180100	180699	600
282	LF158	180700	181299	600
283	LF159	181300	181899	600
284	LF160	181900	182499	600
285	LF161	182500	183099	600
286	LF162	183100	183699	600
287	LF163	183700	184299	600
288	LF164	184300	184899	600
289	LF165	184900	185499	600
290	LF166	185500	186199	700
291	LF167	186200	186799	600
292	LF168	186800	187399	600
293	LF169	187400	187999	600
294	LF170	188000	188599	600
295	LF171	188600	189199	600
296	LF172	189200	189799	600
297	LF173	189800	190399	600
298	LF174	190400	999999	809600

【5. 带技能Pt价格的完整技能表：1129项】
字段说明：grade_value=技能基础评价分；need_skill_point=无Hint时数据库原价；group_id/group_rate用于同组上下位或正负档位识别。
技能ID	技能名	稀有度	组ID	组档位	基础评价分	原价技能Pt	技能类别	通用技能	状态类型	状态值	可解锁类型
200011	右回り◎	1	20001	2	174	110	0	1	0	0	0
200012	右回り○	1	20001	1	129	90	0	1	0	0	0
200013	右回り×	1	20001	-1	-129	50	0	1	0	0	0
200014	右回りの鬼	2	20001	3	461	130	0	1	0	0	0
200021	左回り◎	1	20002	2	174	110	0	1	0	0	0
200022	左回り○	1	20002	1	129	90	0	1	0	0	0
200023	左回り×	1	20002	-1	-129	50	0	1	0	0	0
200024	左回りの鬼	2	20002	3	461	130	0	1	0	0	0
200031	東京レース場◎	1	20003	2	174	110	0	1	0	0	0
200032	東京レース場○	1	20003	1	129	90	0	1	0	0	0
